hit_name,percent_query_aligned,percent_identity,hit_length,query_length
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.8848207475,44.6294754371,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.8848207475,44.6294754371,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.8848207475,44.6294754371,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.8848207475,44.6294754371,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,47.4130619169,46.5445462115,1201,1179
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,45.4622561493,44.6294754371,1201,1179
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.8848207475,44.6294754371,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.8848207475,44.6294754371,1201,1311
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),90.5626134301,71.3876967096,1398,1102
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,45.4622561493,44.6294754371,1201,1179
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,41.7238749047,45.545378851,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.8848207475,44.6294754371,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.8848207475,44.6294754371,1201,1311
